,idaviso,idcaracteristica,count
1269,21815961,1000079,9
1270,21815961,2000142,9
1271,21815961,1000117,9
1272,21815961,1000118,9
1273,21815961,1000092,9
1278,21830342,1000111,2
1280,21830342,1000085,2
1289,21880684,2000142,2
1291,21880684,2000148,2
1295,21914195,1000110,2
1300,21914195,2000142,2
1304,48584703,2000141,1
1306,21936807,1000106,2
1307,21936807,1000118,2
1314,48572715,1000101,1
1318,21943637,1000110,3
1320,21943637,1000078,3
1327,21943637,1000085,3
1333,21979394,1000027,1
1336,21982296,1000027,3
1338,21982296,1000100,3
1339,21982296,2000148,3
1342,22006653,1000116,4
1343,22006653,1000110,4
1344,22006653,1000111,4
1345,22006653,1000078,4
1357,22007432,1000118,1
1358,48584629,1000102,4
1359,48584629,1000114,4
1360,48584629,1000110,4
1361,48584629,1000117,4
1362,22015300,1000102,8
1363,22015300,1000116,8
1364,22015300,1000105,8
1365,22015300,1000110,8
1366,22015300,1000111,8
1367,22015300,1000100,8
1368,22015300,1000101,8
1369,22015300,1000109,8
1371,22035743,1000116,1
1384,22036251,1000102,7
1385,22036251,1000038,7
1386,22036251,1000027,7
1387,22036251,1000111,7
1388,22036251,1000100,7
1389,22036251,1000079,7
1390,22036251,2000141,7
1391,22080736,1000102,7
1392,22080736,1000038,7
1393,22080736,1000116,7
1394,22080736,1000110,7
1395,22080736,1000111,7
1396,22080736,1000100,7
1397,22080736,1000117,7
1401,45501098,1000111,1
1404,44696315,2000148,1
1405,22106340,1000102,8
1407,22106340,1000038,8
1408,22106340,1000027,8
1409,22106340,1000116,8
1410,22106340,1000110,8
1411,22106340,1000111,8
1412,22106340,1000100,8
1413,22106340,1000106,8
1418,22111326,2000141,1
1419,22111717,1000102,1
1424,22125093,1000116,1
1434,22133260,1000102,4
1435,22133260,1000027,4
1436,22133260,1000111,4
1437,22133260,1000100,4
1438,22148963,1000102,16
1439,22148963,1000038,16
1440,22148963,1000116,16
1441,22148963,1000110,16
1442,22148963,1000111,16
1443,22148963,1000078,16
1444,22148963,1000100,16
1445,22148963,1000079,16
1446,22148963,1000101,16
1447,22148963,1000068,16
1448,22148963,2000141,16
1449,22148963,1000117,16
1450,22148963,2000148,16
1451,22148963,1000106,16
1452,22148963,1000118,16
1453,22148963,1000092,16
1455,22152043,1000105,1
1458,22154221,1000102,2
1463,22154221,1000117,2
1464,48112222,1000004,1
1465,22164748,1000038,3
1467,22164748,1000110,3
1468,22164748,1000100,3
1471,22184646,1000027,2
1472,22184646,2000141,2
1480,48200425,2000142,3
1482,48200425,2000148,3
1484,48200425,1000109,3
1487,48192821,1000027,4
1488,48192821,1000111,4
1491,48192821,2000142,4
1493,48192821,2000148,4
1496,22250826,1000102,3
1497,22250826,1000110,3
1498,22250826,1000111,3
1502,22256640,1000111,1
1504,22282769,1000027,4
1505,22282769,1000116,4
1506,22282769,1000117,4
1507,22282769,1000106,4
1508,22286780,1000102,7
1509,22286780,1000027,7
1510,22286780,1000110,7
1511,22286780,1000111,7
1512,22286780,1000100,7
1513,22286780,1000101,7
1514,22286780,1000117,7
1518,22287066,1000102,13
1519,47919011,1000117,1
1520,22287066,1000116,13
1522,22287066,1000110,13
1523,22287066,1000078,13
1524,22287066,1000100,13
1525,22287066,1000079,13
1526,22287066,1000068,13
1527,22287066,2000142,13
1528,22287066,1000090,13
1529,22287066,1000117,13
1530,22287066,1000106,13
1531,22287066,1000118,13
1532,22287066,1000092,13
1533,22287072,1000102,13
1534,22287072,1000116,13
1535,22287072,1000105,13
1536,22287072,1000110,13
1537,22287072,1000078,13
1538,22287072,1000100,13
1539,22287072,1000079,13
1540,22287072,1000068,13
1541,22287072,2000142,13
1542,22287072,1000090,13
1543,22287072,1000117,13
1544,22287072,1000106,13
1545,22287072,1000092,13
1550,22299144,1000102,2
1552,22299144,1000038,2
1554,22331008,1000038,5
1556,48514816,1000102,8
1557,22331008,1000116,5
1558,48514816,1000114,8
1560,48514816,1000110,8
1561,22331008,1000111,5
1562,48514816,1000111,8
1564,48514816,1000079,8
1566,48514816,1000085,8
1568,48514816,1000106,8
1569,22331008,2000142,5
1570,48514816,1000118,8
1572,22331008,1000109,5
1573,22341311,1000102,8
1575,22341311,1000038,8
1576,22341311,1000027,8
1577,22341311,1000116,8
1578,22341311,1000110,8
1579,22341311,1000111,8
1580,22341311,1000100,8
1581,22341311,1000106,8
1585,22366608,1000102,8
1586,22366608,1000116,8
1587,22366608,1000105,8
1588,22366608,1000110,8
1589,22366608,1000111,8
1590,22366608,1000100,8
1591,22366608,1000101,8
1592,22366608,1000109,8
1593,22367995,2000141,1
1596,22372143,1000111,2
1598,22372143,2000142,2
1599,22374603,1000102,5
1600,22374603,1000079,5
1601,22374603,1000068,5
1602,22374603,1000090,5
1603,22374603,1000092,5
1604,22374607,1000102,5
1605,22374607,1000079,5
1606,22374607,1000068,5
1607,22374607,1000090,5
1608,22374607,1000092,5
1615,48466597,1000111,2
1618,48466597,1000092,2
1619,22418526,1000102,9
1620,22418526,1000110,9
1621,22418526,1000078,9
1622,22418526,1000100,9
1623,22418526,1000079,9
1624,22418526,1000068,9
1625,22418526,2000142,9
1626,22418526,1000090,9
1627,22418526,1000092,9
1631,22426444,1000110,3
1634,22426444,2000142,3
1636,22426444,2000148,3
1637,48399791,1000102,9
1638,48399791,1000027,9
1639,48399791,1000116,9
1640,48399791,1000110,9
1641,48399791,1000111,9
1642,48399791,1000078,9
1644,48399791,1000068,9
1645,48399791,1000106,9
1646,48399791,1000118,9
1647,48310291,1000102,3
1648,48310291,1000004,3
1649,48310291,1000079,3
1653,48367440,1000111,3
1655,48367440,1000117,3
1656,48367440,1000106,3
1661,46310992,1000111,2
1665,46310992,2000141,2
1670,48373744,1000111,2
1675,48373744,1000092,2
1680,48581492,1000116,2
1683,48581492,1000118,2
1685,22453698,2000142,1
1686,22482098,1000102,3
1689,22482098,1000111,3
1690,22482098,1000100,3
1691,48605478,1000102,3
1692,48605478,1000116,3
1695,48605478,1000090,3
1696,22482797,1000102,4
1697,22482797,1000114,4
1700,22482797,1000111,4
1701,22482797,1000100,4
1702,22482812,1000102,2
1704,22482812,1000100,2
1705,22488634,1000111,2
1707,22488634,2000142,2
1708,22504269,1000078,5
1709,22504269,1000079,5
1710,22504269,1000068,5
1711,22504269,1000090,5
1712,22504269,1000092,5
1713,22506106,1000102,4
1714,22506106,1000027,4
1715,22506106,2000141,4
1716,22506106,1000106,4
1719,47478658,1000116,1
1720,22513158,1000102,10
1721,22513158,1000038,10
1722,22513158,1000027,10
1723,22513158,1000116,10
1724,22513158,1000110,10
1725,22513158,1000111,10
1726,22513158,1000100,10
1727,22513158,1000068,10
1728,22513158,1000106,10
1729,22513158,1000118,10
1731,22514995,1000114,2
1736,22514995,1000111,2
1740,48091876,1000004,11
1741,48091876,1000038,11
1742,48091876,1000116,11
1743,48091876,1000078,11
1744,48091876,1000079,11
1745,48091876,1000002,11
1746,48091876,1000068,11
1747,48091876,2000142,11
