,idaviso,dia,visits,impressions,leads
398,45567697,2021-10-18,0.0,3.0,0.0
399,45567697,2021-10-19,0.0,2.0,0.0
400,45567697,2021-10-20,1.0,3.0,0.0
401,45567697,2021-10-21,0.0,5.0,0.0
402,45567697,2021-10-22,0.0,6.0,0.0
403,45567697,2021-10-23,0.0,4.0,0.0
404,45567697,2021-10-24,0.0,5.0,0.0
405,45567697,2021-10-25,0.0,7.0,0.0
406,45567697,2021-10-26,0.0,12.0,0.0
407,45567697,2021-10-27,0.0,4.0,0.0
408,45567697,2021-10-28,0.0,3.0,0.0
409,45567697,2021-10-29,0.0,4.0,0.0
410,43980504,2021-09-29,1.0,3.0,0.0
411,43980504,2021-09-30,0.0,3.0,0.0
412,43980504,2021-10-01,0.0,5.0,0.0
413,43980504,2021-10-02,0.0,6.0,0.0
414,43980504,2021-10-03,0.0,4.0,0.0
415,43980504,2021-10-04,0.0,3.0,0.0
416,43980504,2021-10-05,0.0,4.0,0.0
417,43980504,2021-10-06,0.0,6.0,0.0
418,43980504,2021-10-07,0.0,3.0,0.0
419,43980504,2021-10-08,0.0,7.0,0.0
420,43980504,2021-10-09,0.0,3.0,0.0
421,43980504,2021-10-10,1.0,3.0,0.0
422,43980504,2021-10-11,0.0,6.0,0.0
423,43980504,2021-10-12,0.0,5.0,0.0
424,43980504,2021-10-13,0.0,3.0,0.0
425,43980504,2021-10-14,0.0,5.0,0.0
426,43980504,2021-10-15,0.0,8.0,0.0
427,43980504,2021-10-16,0.0,9.0,0.0
428,43980504,2021-10-17,0.0,2.0,0.0
429,43980504,2021-10-18,3.0,4.0,2.0
430,43980504,2021-10-19,2.0,10.0,0.0
431,43980504,2021-10-20,0.0,6.0,0.0
432,43980504,2021-10-21,0.0,5.0,0.0
433,43980504,2021-10-22,1.0,3.0,0.0
434,43980504,2021-10-23,1.0,4.0,0.0
435,43980504,2021-10-24,0.0,18.0,0.0
436,43980504,2021-10-25,1.0,8.0,0.0
437,43980504,2021-10-26,1.0,6.0,0.0
438,43980504,2021-10-27,2.0,4.0,0.0
439,43980504,2021-10-28,0.0,2.0,0.0
440,43980504,2021-10-29,1.0,0.0,0.0
441,45421645,2021-09-30,0.0,6.0,0.0
442,45421645,2021-10-01,0.0,2.0,0.0
443,45421645,2021-10-02,0.0,2.0,0.0
444,45421645,2021-10-03,0.0,3.0,0.0
445,45421645,2021-10-06,0.0,2.0,0.0
