,idaviso,idcaracteristica
33247,48346150,1000074
33248,48346150,1000078
33249,48346150,1000079
33250,48346150,1000085
33251,48346150,1000087
33252,48346150,1000088
33253,48346150,1000090
33254,48346150,1000092
33255,48346150,1000097
33256,48346150,1000100
33257,48346150,1000102
33258,48346150,1000103
33259,48346150,1000104
33260,48346150,1000105
33261,48346150,1000106
33262,48346150,1000108
33263,48346150,1000110
33264,48346150,1000111
33265,48346150,1000116
33266,48346150,1000117
33267,48346150,1000118
33268,48346150,2000133
33269,48346150,2000137
33270,48346150,2000138
33271,48346150,2000139
33272,48346150,2000148
33273,48346150,2000167
33274,48346150,2000171
34999,48586433,1000016
35000,48586433,1000025
35001,48586433,1000026
35002,48586433,1000046
35003,48586433,1000078
35004,48586433,1000100
35005,48586433,1000102
35006,48586433,1000111
35007,48586433,1000112
35008,48586433,1000114
35009,48586433,1000116
36596,48574253,1000002
36597,48574253,1000016
36598,48574253,1000018
36599,48574253,1000025
36600,48574253,1000026
36601,48574253,1000027
36602,48574253,1000029
36603,48574253,1000078
36604,48574253,1000102
36605,48574253,1000103
36606,48574253,1000108
36607,48574253,1000111
36608,48574253,1000114
36934,23988643,1000010
36935,23988643,1000015
36936,23988643,1000017
36937,23988643,1000018
36938,23988643,1000019
36939,23988643,1000020
36940,23988643,1000021
36941,23988643,1000027
36942,23988643,1000029
36943,23988643,1000033
36944,23988643,1000038
36945,23988643,1000040
36946,23988643,1000046
36947,23988643,1000097
36948,23988643,1000100
36949,23988643,1000102
36950,23988643,1000103
36951,23988643,1000104
36952,23988643,1000105
36953,23988643,1000106
36954,23988643,1000108
36955,23988643,1000110
36956,23988643,1000111
36957,23988643,1000112
36958,23988643,1000117
36959,23988643,1000121
36960,23988643,1000122
36961,23988643,1000125
36962,23988643,1000126
36963,23988643,1000127
36964,23988643,1000128
36965,23988643,1000129
36966,23988643,1000131
37241,24001076,1000005
37242,24001076,1000009
37243,24001076,1000010
37244,24001076,1000017
37245,24001076,1000020
37246,24001076,1000021
37247,24001076,1000027
37248,24001076,1000033
37249,24001076,1000038
37250,24001076,1000039
37251,24001076,1000040
37252,24001076,1000046
37253,24001076,1000078
37254,24001076,1000085
37255,24001076,1000092
37256,24001076,1000100
37257,24001076,1000102
37258,24001076,1000106
37259,24001076,1000107
37260,24001076,1000108
37261,24001076,1000110
37262,24001076,1000111
37263,24001076,1000117
37264,24001076,1000118
37265,24001076,1000121
37266,24001076,1000126
37267,24001076,1000127
37268,24001076,1000129
37269,24001076,1000131
39682,24230728,1000005
39683,24230728,1000009
39684,24230728,1000010
39685,24230728,1000015
39686,24230728,1000017
39687,24230728,1000019
39688,24230728,1000020
39689,24230728,1000021
39690,24230728,1000022
39691,24230728,1000027
39692,24230728,1000029
39693,24230728,1000033
39694,24230728,1000101
39695,24230728,1000102
39696,24230728,1000112
39697,24230728,1000121
39698,24230728,1000122
39699,24230728,1000125
39700,24230728,1000127
39701,24230728,1000128
39994,48587186,1000016
39995,48587186,1000019
39996,48587186,1000029
39997,48587186,1000078
39998,48587186,1000090
39999,48587186,1000097
40000,48587186,1000100
40001,48587186,1000102
40002,48587186,1000106
40003,48587186,1000112
40004,48587186,1000116
40005,48587186,1000117
40006,48587186,1000118
40097,47666110,1000009
40098,47666110,1000015
40099,47666110,1000016
40100,47666110,1000100
40101,47666110,1000102
40102,47666110,1000110
40147,48239161,1000016
40148,48239161,1000019
40149,48239161,1000114
40541,24362252,1000004
40542,24362252,1000005
40543,24362252,1000009
40544,24362252,1000010
40545,24362252,1000015
40546,24362252,1000017
40547,24362252,1000019
40548,24362252,1000020
40549,24362252,1000021
40550,24362252,1000027
40551,24362252,1000029
40552,24362252,1000033
40553,24362252,1000038
40554,24362252,1000046
40555,24362252,1000074
40556,24362252,1000079
40557,24362252,1000100
40558,24362252,1000102
40559,24362252,1000112
40560,24362252,1000118
40561,24362252,1000121
40562,24362252,1000122
40563,24362252,1000125
40564,24362252,1000126
40565,24362252,1000127
40566,24362252,1000128
40567,24362252,1000129
40568,24362252,1000131
40762,48605486,1000004
40763,48605486,1000016
40764,48605486,1000102
40765,48605486,1000114
40770,24400869,1000009
40771,24400869,1000010
40772,24400869,1000017
40773,24400869,1000019
40774,24400869,1000020
40775,24400869,1000021
40776,24400869,1000022
40777,24400869,1000027
40778,24400869,1000029
40779,24400869,1000033
40780,24400869,1000038
40781,24400869,1000079
40782,24400869,1000090
40783,24400869,1000100
40784,24400869,1000102
40785,24400869,1000103
40786,24400869,1000111
40787,24400869,1000116
40788,24400869,1000117
40789,24400869,1000121
40790,24400869,1000122
40791,24400869,1000127
40792,24400869,1000128
41775,25080015,1000009
41776,25080015,1000010
41777,25080015,1000015
41778,25080015,1000017
41779,25080015,1000019
41780,25080015,1000020
41781,25080015,1000021
41782,25080015,1000027
41783,25080015,1000029
41784,25080015,1000033
41785,25080015,1000038
41786,25080015,1000046
41787,25080015,1000100
41788,25080015,1000106
41789,25080015,1000110
41790,25080015,1000112
41791,25080015,1000117
41792,25080015,1000121
41793,25080015,1000122
41794,25080015,1000125
41795,25080015,1000126
41796,25080015,1000127
41797,25080015,1000128
41798,25080015,1000129
41799,25080015,1000131
42398,25424643,1000010
42399,25424643,1000018
42400,25424643,1000021
42401,25424643,1000027
42402,25424643,1000101
42403,25424643,1000102
42404,25424643,1000103
42405,25424643,1000105
42406,25424643,1000106
42407,25424643,1000110
42408,25424643,1000111
42409,25424643,1000112
42410,25424643,1000117
42411,25424643,1000118
42412,25424643,1000121
42413,25424643,1000125
42414,25424643,1000127
43246,25788588,1000005
43247,25788588,1000009
43248,25788588,1000010
43249,25788588,1000015
43250,25788588,1000017
43251,25788588,1000019
43252,25788588,1000020
43253,25788588,1000021
43254,25788588,1000027
43255,25788588,1000029
43256,25788588,1000033
43257,25788588,1000038
43258,25788588,1000040
43259,25788588,1000046
43260,25788588,1000102
43261,25788588,1000105
43262,25788588,1000108
43263,25788588,1000110
43264,25788588,1000111
43265,25788588,1000112
43266,25788588,1000121
43267,25788588,1000122
43268,25788588,1000125
43269,25788588,1000126
43270,25788588,1000127
43271,25788588,1000128
43272,25788588,1000131
43606,25981392,1000005
43607,25981392,1000009
43608,25981392,1000010
43609,25981392,1000015
43610,25981392,1000017
